label,year1958,year1959,year1960,year1961,year1962,year1963,year1964,year1965,year1966,year1967,year1968,year1969,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,northing,easting
"287500,272500",6,4,9,1,3,1,0,5,8,7,3,3,7,0,2,4,9,1,0,8,3,9,5,7,5,7,2,2,7,3,6,4,6,3,6,4,9,0,1,1,9,8,9,4,8,0,6,2,4,5,8,5,0,2,8,1,7,6,2,272500,287500
"292500,272500",5,4,9,2,3,1,0,7,8,7,3,3,6,0,4,1,8,0,0,7,2,7,4,6,5,5,3,2,8,3,6,4,6,4,7,6,9,1,1,2,9,9,9,3,9,0,5,1,4,6,8,5,0,2,8,2,8,7,1,272500,292500
"297500,272500",6,3,9,2,3,1,0,7,7,8,4,3,4,0,6,1,8,0,0,7,1,5,6,5,5,3,3,2,8,4,7,4,6,4,7,6,9,2,1,2,9,9,9,3,9,0,5,2,5,6,8,4,0,1,8,2,8,7,1,272500,297500
"252500,267500",9,0,5,3,1,1,0,6,5,8,2,3,7,1,4,1,7,0,0,7,2,9,4,8,6,5,3,4,6,4,5,3,4,2,6,5,8,1,1,2,9,9,9,6,7,0,8,2,4,7,8,6,0,2,9,3,7,8,3,267500,252500
"257500,267500",9,0,4,2,1,1,0,6,5,8,2,3,7,1,4,1,7,1,0,7,2,9,4,8,6,5,3,4,6,4,5,3,5,2,6,5,8,0,1,2,9,9,9,6,7,0,8,2,4,7,8,6,0,3,9,3,7,8,3,267500,257500
"262500,267500",9,0,5,2,2,1,0,7,4,8,1,4,7,1,4,2,8,1,0,7,3,9,4,8,6,7,3,4,6,4,5,3,5,1,6,5,8,1,0,2,9,9,9,6,7,0,7,2,3,6,8,5,0,3,9,2,6,8,3,267500,262500
"267500,267500",9,0,7,2,3,1,1,7,5,8,2,5,8,1,4,2,8,1,0,7,2,9,4,8,6,7,4,3,6,3,5,3,4,1,6,4,8,0,0,2,9,9,9,6,7,0,7,2,3,5,8,5,0,3,9,1,6,6,4,267500,267500
"272500,267500",8,1,8,2,4,0,1,7,6,8,1,5,8,1,5,3,9,0,0,7,3,8,4,7,6,7,4,3,6,3,5,2,4,3,6,6,8,1,0,2,9,9,9,9,6,0,7,3,4,2,2,5,0,4,9,2,7,5,1,267500,272500
"277500,267500",7,4,9,2,3,1,1,6,6,8,2,4,8,0,5,3,9,0,0,7,3,8,3,8,4,7,4,2,5,1,5,1,6,4,7,6,9,1,0,1,9,8,9,7,7,0,8,2,4,3,6,5,0,3,9,2,5,6,2,267500,277500
"282500,267500",5,4,9,2,3,1,0,6,7,8,3,3,7,0,4,2,9,0,0,7,2,8,4,7,4,5,3,2,7,3,5,2,6,4,7,6,9,1,1,1,9,9,9,6,8,0,8,1,4,5,8,5,0,3,8,1,6,6,2,267500,282500
"287500,267500",6,5,9,2,5,1,0,7,8,8,4,3,7,0,4,2,9,0,0,7,2,7,3,6,4,5,3,1,8,3,6,4,6,4,7,5,9,2,1,2,9,9,9,3,8,0,7,1,3,6,8,5,0,2,8,1,6,4,1,267500,287500
"292500,267500",6,4,9,2,4,2,0,7,8,7,4,3,6,0,6,1,9,0,0,8,2,7,3,6,6,4,3,2,8,3,5,5,7,5,7,5,9,2,1,2,9,9,9,3,8,0,6,1,3,4,8,5,0,1,7,1,8,4,1,267500,292500
"297500,267500",6,4,9,3,3,2,0,7,8,7,4,3,5,0,5,1,8,0,0,8,2,6,2,4,7,3,5,2,8,2,5,4,6,4,6,7,8,1,1,1,9,9,9,3,9,0,4,2,5,6,8,6,0,1,7,3,9,7,1,267500,297500
